"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF","Maurice Harkless",4900,"NO@Por 10:00PM ET",22.853,"Por"
"C","Jusuf Nurkic",4800,"OKC@Den 09:00PM ET",25.267,"Den"
"SG","Eric Gordon",4800,"Hou@Sac 10:30PM ET",25.583,"Hou"
"PG/SG","Brandon Knight",4800,"Min@Pho 09:00PM ET",21.063,"Pho"
"SG/SF","Will Barton",4700,"OKC@Den 09:00PM ET",20.917,"Den"
"PF","Ryan Anderson",4700,"Hou@Sac 10:30PM ET",22.600,"Hou"
"PF/C","Nikola Jokic",4600,"OKC@Den 09:00PM ET",21.933,"Den"
"PF","Al-Farouq Aminu",4600,"NO@Por 10:00PM ET",21.844,"Por"
"C","Enes Kanter",4500,"OKC@Den 09:00PM ET",22.531,"OKC"
"C","Tyson Chandler",4500,"Min@Pho 09:00PM ET",24.438,"Pho"
"SG","Nick Young",4500,"GS@LAL 10:30PM ET",21.406,"LAL"
"SF/PF","Larry Nance Jr.",4400,"GS@LAL 10:30PM ET",18.233,"LAL"
"SG/SF","Andre Roberson",4300,"OKC@Den 09:00PM ET",19.688,"OKC"
"PG","Patrick Beverley",4300,"Hou@Sac 10:30PM ET",22.500,"Hou"
